20ACT14	L1	99.66	93.13	99.75	94.79
20ACT25	L1	99.75	94.96	99.81	96.13
20QLD11	L1	99.64	92.78	99.71	94.06
20QLD86	L1	99.64	92.62	99.70	93.81
20WA97	L1	99.64	92.67	99.70	93.96
21NSW100	L1	99.63	92.49	99.69	93.72
21NSW102	L1	99.63	92.52	99.69	93.71
21QLD135	L1	99.64	92.76	99.70	93.94
22NSW08	L1	99.67	93.27	99.74	94.58
22NSW101	L1	99.64	92.62	99.70	93.80
22NSW102	L1	99.64	92.63	99.70	93.84
22NSW103	L1	99.67	93.20	99.72	94.33
22NSW105	L1	99.64	92.68	99.70	93.90
22NSW106	L1	99.64	92.74	99.70	93.96
22NSW107	L1	99.67	93.24	99.73	94.40
22NSW108	L1	99.64	92.73	99.70	93.96
22NSW109	L1	99.64	92.63	99.70	93.85
22NSW123	L1	99.67	93.24	99.74	94.63
22NSW79	L1	99.65	92.98	99.72	94.22
22NSW80	L1	99.65	92.83	99.71	94.15
22NSW81	L1	99.66	93.07	99.73	94.45
22NSW97	L1	99.65	92.83	99.70	93.97
22QLD110	L1	99.64	92.79	99.71	94.01
22QLD114	L1	99.65	92.85	99.72	94.22
22QLD116	L1	99.69	93.72	99.77	95.37
22QLD118	L1	99.66	93.09	99.73	94.40
22SA132	L1	99.65	92.89	99.71	94.15
22VIC117	L1	99.70	93.96	99.79	95.73
22VIC126	L1	99.72	94.30	99.80	95.96
22VIC128	L1	99.65	92.89	99.72	94.18
22VIC130	L1	99.63	92.59	99.70	93.82
23VIC09	L1	99.66	93.09	99.73	94.39
23WA07	L1	99.69	93.66	99.76	95.09
23WA20	L1	99.66	93.17	99.73	94.42
23WA43	L1	99.67	93.36	99.74	94.76
22WA55	L10	99.18	84.20	99.53	90.64
20WA73	L11	99.17	83.92	99.52	90.34
20WA94	L11	99.18	84.04	99.53	90.52
22WA09	L11	99.26	85.51	99.57	91.42
22WA30	L11	99.20	84.49	99.54	90.70
22WA31	L11	99.22	84.91	99.56	91.09
22WA64	L11	99.19	84.27	99.53	90.64
22WA86	L11	99.22	84.91	99.56	91.07
22WA88	L11	99.27	85.82	99.60	91.90
22WA89	L11	99.27	85.74	99.58	91.61
23NSW54	L11	99.23	85.05	99.56	91.11
23VIC51	L11	99.49	89.83	99.69	93.77
23WA16	L12	99.29	86.10	99.56	91.13
21WA139	L13	99.12	83.12	99.46	89.16
20WA89	L14	99.19	84.22	99.52	90.37
22SA10	L15	99.20	84.43	99.51	90.20
22SA11	L15	99.20	84.49	99.51	90.25
21WA134	L16	99.21	84.72	99.55	90.91
22WA15	L16	99.16	83.78	99.49	89.86
22WA28	L16	99.14	83.34	99.48	89.63
22WA33	L16	99.20	84.42	99.53	90.64
22WA56	L16	99.13	83.17	99.47	89.43
22WA57	L16	99.14	83.34	99.48	89.71
22WA58	L16	99.13	83.16	99.47	89.53
22SA92-02	L17	99.17	83.99	99.51	90.15
20ACT27	L18	99.21	84.61	99.54	90.74
20NSW19	L18	99.16	83.80	99.50	90.09
20NSW20	L18	99.14	83.47	99.49	89.81
21ACT106	L18	99.16	83.71	99.50	90.00
21ACT112	L18	99.15	83.63	99.50	89.99
21NSW141	L18	99.16	83.80	99.50	90.05
21WA138	L18	99.17	83.95	99.51	90.17
22NSW100	L18	99.17	83.86	99.51	90.11
22NSW104	L18	99.48	89.62	99.68	93.57
22NSW121	L18	99.18	84.20	99.52	90.32
22NSW75	L18	99.17	83.91	99.52	90.29
22NSW76	L18	99.46	89.33	99.68	93.55
22NSW77	L18	99.23	85.06	99.54	90.85
22NSW78	L18	99.19	84.31	99.52	90.47
22NSW82	L18	99.49	89.80	99.69	93.74
22NSW84	L18	99.21	84.72	99.54	90.69
22NSW95	L18	99.16	83.78	99.50	90.06
22NSW96	L18	99.18	84.13	99.52	90.29
22NSW98	L18	99.16	83.72	99.50	90.00
22NSW99	L18	99.17	84.03	99.51	90.26
22SA12	L18	99.21	84.60	99.54	90.76
22SA131	L18	99.23	84.93	99.54	90.82
22VIC01	L18	99.23	84.94	99.54	90.83
22VIC49	L18	99.55	90.99	99.74	94.61
22VIC67	L18	99.23	85.10	99.58	91.62
22VIC68	L18	99.16	83.71	99.50	90.00
22VIC69	L18	99.16	83.84	99.51	90.11
22VIC70	L18	99.17	83.86	99.51	90.15
22VIC71	L18	99.21	84.74	99.54	90.72
22VIC72	L18	99.16	83.85	99.51	90.16
22VIC74	L18	99.41	88.23	99.65	92.81
22WA18	L18	99.17	83.99	99.51	90.21
22WA19	L18	99.16	83.84	99.51	90.12
22WA22	L18	99.21	84.59	99.54	90.76
22WA26	L18	99.19	84.29	99.54	90.76
22WA27	L18	99.20	84.43	99.53	90.52
22WA43	L18	99.25	85.45	99.56	91.24
22WA62	L18	99.20	84.45	99.54	90.81
22WA63	L18	99.17	83.98	99.51	90.28
22WA65	L18	99.21	84.60	99.54	90.71
23NSW25	L18	99.20	84.41	99.53	90.53
23SA22	L18	99.33	86.85	99.60	92.02
23SA52	L18	99.22	84.82	99.54	90.76
23VIC03	L18	99.22	84.82	99.54	90.78
23VIC53	L18	99.23	85.02	99.55	90.94
23VIC59	L18	99.21	84.71	99.54	90.74
23WA01	L18	99.25	85.33	99.56	91.15
23WA17	L18	99.25	85.35	99.56	91.20
90KS101-1	L-1990	99.66	93.11	99.69	93.65
90MN153-1	L-1990	99.68	93.45	99.70	93.93
90MN3B-1	L-1990	99.67	93.30	99.69	93.78
90TX52-1	L-1990	99.69	93.62	99.71	94.07
90TX58-1	L-1990	99.66	93.14	99.69	93.76
20ACT40	L2	99.52	90.31	99.66	93.09
20ACT80	L2	99.52	90.30	99.66	93.09
21ACT105	L2	99.58	91.49	99.74	94.75
21ACT116	L2	99.54	90.82	99.69	93.70
21NSW142	L2	99.52	90.36	99.66	93.11
23NSW13	L2	99.56	91.19	99.69	93.78
17FL16-1	L-2017	99.62	92.24	99.68	93.42
17LA50-2	L-2017	99.81	96.13	99.77	95.29
17LA50-3	L-2017	99.62	92.27	99.68	93.42
17TX12-3	L-2017	99.62	92.29	99.68	93.41
17TX15-3	L-2017	99.64	92.61	99.68	93.58
17TX44-3	L-2017	99.62	92.35	99.68	93.52
17TX59-2	L-2017	99.67	93.21	99.70	93.85
22QLD111	L3	99.35	87.16	99.60	91.84
22QLD112	L3	99.15	83.66	99.49	89.77
22WA50	L3	99.21	84.75	99.54	90.85
22WA51	L3	99.17	83.89	99.51	90.20
22WA45	L4	99.27	85.77	99.59	91.71
22WA23	L5	99.15	83.62	99.50	90.08
22WA29	L5	99.19	84.32	99.52	90.39
22WA53	L5	99.18	84.14	99.52	90.40
22WA54	L5	99.17	83.95	99.51	90.23
23WA44	L5	99.16	83.83	99.51	90.18
22WA47	L6	99.14	83.48	99.46	89.34
22WA32	L7	99.35	87.29	99.61	92.15
22WA46	L8	99.22	84.85	99.54	90.80
20WA71	L9	99.16	83.68	99.49	89.73
20WA72	L9	99.12	83.05	99.45	89.10
20WA93	L9	99.09	82.58	99.43	88.68
20WA95	L9	99.13	83.25	99.46	89.20
21WA136	L9	99.11	82.95	99.45	88.97
21WA137	L9	99.11	82.85	99.44	88.93
22WA25	L9	99.18	84.15	99.50	90.06
22WA34	L9	99.22	84.88	99.56	91.13
23SA24	L9	99.20	84.48	99.50	90.08
23SA31	L9	99.19	84.28	99.50	90.06
TW-19061	L-TW	99.63	92.60	99.69	93.64
TW-NTU01	L-TW	99.63	92.59	99.69	93.63
TW-NTU03	L-TW	99.64	92.68	99.69	93.67
TW-NTU04	L-TW	99.63	92.59	99.69	93.61
TW-SW01	L-TW	99.64	92.61	99.69	93.63
Pca203		99.98	99.67	99.98	99.65
90AR100-1		99.69	93.60	99.71	94.04
90MN14B-1		99.71	94.00	99.52	90.44
90MN7B-1		99.70	93.91	99.52	90.44
18MNBT-34		99.68	93.46	99.51	90.21
18MNBT-36		99.73	94.45	99.53	90.50
18MNBT-50		99.69	93.78	99.52	90.35
12NC29		99.66	93.15	99.70	93.95
12SD80		99.76	95.09	99.53	90.63
15FL1-2		99.74	94.77	99.50	89.93
15FL1-4		99.68	93.50	99.50	89.97
15MN10-4		99.69	93.62	99.51	90.10
15MN10-5		99.76	94.98	99.51	90.19
15MN13-4		99.70	93.80	99.47	89.41
15MN14-4		99.71	94.14	99.48	89.62
15MN16-3		99.70	93.93	99.52	90.35
15MN17-5		99.75	94.81	99.50	89.99
15MN18-1		99.71	94.15	99.49	89.88
15MN18-3		99.71	94.10	99.49	89.88
15MN23-1		99.69	93.76	99.48	89.61
15MN24-1		99.71	94.06	99.49	89.76
15MN25-3		99.73	94.43	99.50	89.92
15MN27-3		99.71	94.12	99.47	89.47
15MS7-1		99.71	94.11	99.49	89.74
15ND19-5		99.71	94.12	99.46	89.32
15ND20-3		99.71	94.02	99.49	89.91
15ND20-4		99.71	94.18	99.47	89.35
15NE8-4		99.70	93.81	99.45	89.11
15NE8-5		99.71	94.02	99.46	89.33
15NE9-1		99.75	94.82	99.50	89.97
15NE9-3		99.75	94.85	99.50	90.04
15OH12-3		99.74	94.64	99.51	90.17
15SD11-1		99.72	94.32	99.49	89.80
15SD11-2		99.71	94.03	99.52	90.31
15SD30-1		99.74	94.74	99.50	89.92
15SD30-3		99.75	94.79	99.50	89.98
15TX3-1		99.75	94.79	99.50	90.00
16IL75-3		99.75	94.94	99.56	91.20
16MN100-2		99.65	92.98	99.48	89.55
16MN101-1		99.68	93.49	99.51	90.21
